pheno,marker,genotype
NA,II:3646789,QX-RIAILs
7.65789473684211,II:3646789,CB-RIAILs
30.6375,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
44.6541666666667,II:3646789,CB-RIAILs
-16.0125,II:3646789,CB-RIAILs
-2.02916666666666,II:3646789,QX-RIAILs
-0.983333333333343,II:3646789,QX-RIAILs
26.797619047619,II:3646789,QX-RIAILs
1.35,II:3646789,CB-RIAILs
-12.9848484848485,II:3646789,QX-RIAILs
-63.5357142857143,II:3646789,CB-RIAILs
-39.5038759689923,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
19.5481481481481,II:3646789,CB-RIAILs
70.0296296296296,II:3646789,CB-RIAILs
-21.0087719298242,II:3646789,QX-RIAILs
-41.6791666666667,II:3646789,QX-RIAILs
-10.344696969697,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
41.9912280701753,II:3646789,QX-RIAILs
-5.78518518518517,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
37.8294573643411,II:3646789,QX-RIAILs
-4.11851851851852,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
-28.1185185185185,II:3646789,QX-RIAILs
29.797619047619,II:3646789,CB-RIAILs
-6.97037037037037,II:3646789,CB-RIAILs
-45.637037037037,II:3646789,QX-RIAILs
36.9708333333333,II:3646789,CB-RIAILs
-5.65151515151514,II:3646789,CB-RIAILs
13.3041666666667,II:3646789,QX-RIAILs
27.6833333333333,II:3646789,QX-RIAILs
-24.344696969697,II:3646789,QX-RIAILs
15.9912280701751,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
9.69629629629629,II:3646789,QX-RIAILs
3.69629629629629,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
3.69629629629629,II:3646789,CB-RIAILs
-12.3037037037037,II:3646789,QX-RIAILs
-35.1185185185185,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
24.1309523809524,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
-24.6515151515151,II:3646789,QX-RIAILs
-14.6791666666667,II:3646789,QX-RIAILs
-24.9703703703704,II:3646789,CB-RIAILs
56.9708333333333,II:3646789,CB-RIAILs
42.8814814814815,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
36.8814814814815,II:3646789,QX-RIAILs
-26.6754385964912,II:3646789,CB-RIAILs
22.1627906976744,II:3646789,CB-RIAILs
-7.20238095238095,II:3646789,QX-RIAILs
8.98863636363635,II:3646789,CB-RIAILs
-43.3181818181818,II:3646789,QX-RIAILs
-14.9703703703704,II:3646789,CB-RIAILs
29.0151515151515,II:3646789,CB-RIAILs
31.3219696969697,II:3646789,QX-RIAILs
8.16279069767442,II:3646789,CB-RIAILs
4.6375,II:3646789,CB-RIAILs
33.3484848484849,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
2.65789473684211,II:3646789,QX-RIAILs
18.9875,II:3646789,CB-RIAILs
-3.67916666666666,II:3646789,CB-RIAILs
18.3245614035088,II:3646789,CB-RIAILs
19.6541666666667,II:3646789,CB-RIAILs
-8.98333333333334,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
-2.0125,II:3646789,QX-RIAILs
1.97083333333334,II:3646789,QX-RIAILs
-42.9833333333333,II:3646789,QX-RIAILs
29.0296296296296,II:3646789,CB-RIAILs
2.46428571428571,II:3646789,CB-RIAILs
-27.3625,II:3646789,QX-RIAILs
30.0296296296296,II:3646789,CB-RIAILs
6.65789473684211,II:3646789,CB-RIAILs
-20.0087719298246,II:3646789,CB-RIAILs
-36.0113636363636,II:3646789,QX-RIAILs
6.13095238095239,II:3646789,CB-RIAILs
28.9912280701754,II:3646789,CB-RIAILs
-1.02916666666666,II:3646789,QX-RIAILs
-9.5357142857143,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
-4.69583333333334,II:3646789,QX-RIAILs
-4.31666666666666,II:3646789,CB-RIAILs
3.79761904761905,II:3646789,QX-RIAILs
-13.8690476190476,II:3646789,CB-RIAILs
-4.34583333333334,II:3646789,QX-RIAILs
11.3041666666667,II:3646789,CB-RIAILs
-24.3458333333333,II:3646789,QX-RIAILs
26.5481481481481,II:3646789,CB-RIAILs
-46.9848484848485,II:3646789,CB-RIAILs
-4.86904761904761,II:3646789,QX-RIAILs
9.54814814814814,II:3646789,CB-RIAILs
34.1627906976744,II:3646789,CB-RIAILs
17.362962962963,II:3646789,CB-RIAILs
9.69629629629629,II:3646789,CB-RIAILs
23.0166666666667,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
17.9708333333333,II:3646789,CB-RIAILs
1.65530303030304,II:3646789,QX-RIAILs
-16.8372093023256,II:3646789,QX-RIAILs
-42.3458333333333,II:3646789,CB-RIAILs
-19.6958333333333,II:3646789,CB-RIAILs
12.0166666666667,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
-43.8690476190476,II:3646789,QX-RIAILs
-28.0291666666667,II:3646789,QX-RIAILs
15.6578947368425,II:3646789,CB-RIAILs
0.35,II:3646789,CB-RIAILs
55.6375,II:3646789,QX-RIAILs
-12.342105263158,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
-38.3181818181818,II:3646789,QX-RIAILs
22.9875,II:3646789,QX-RIAILs
-13.9703703703704,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
14.0166666666667,II:3646789,CB-RIAILs
8.65530303030304,II:3646789,QX-RIAILs
-25.8690476190476,II:3646789,CB-RIAILs
-0.318181818181827,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
12.6541666666667,II:3646789,CB-RIAILs
10.5481481481481,II:3646789,CB-RIAILs
-16.3037037037037,II:3646789,CB-RIAILs
3.02962962962963,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
-11.3458333333333,II:3646789,QX-RIAILs
19.9886363636364,II:3646789,CB-RIAILs
-23.6958333333333,II:3646789,QX-RIAILs
-21.1705426356589,II:3646789,QX-RIAILs
121.015151515152,II:3646789,CB-RIAILs
-42.6958333333333,II:3646789,CB-RIAILs
-1.69583333333334,II:3646789,QX-RIAILs
0.683333333333343,II:3646789,QX-RIAILs
42.4961240310078,II:3646789,QX-RIAILs
4.32196969696969,II:3646789,CB-RIAILs
19.655303030303,II:3646789,CB-RIAILs
40.5481481481481,II:3646789,CB-RIAILs
12.3484848484849,II:3646789,CB-RIAILs
-11.0125,II:3646789,QX-RIAILs
-14.6515151515151,II:3646789,QX-RIAILs
-9.65,II:3646789,CB-RIAILs
41.6818181818182,II:3646789,CB-RIAILs
10.0166666666667,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
-20.1705426356589,II:3646789,QX-RIAILs
-1.34210526315789,II:3646789,CB-RIAILs
-33.4518518518518,II:3646789,CB-RIAILs
63.6375,II:3646789,CB-RIAILs
5.4642857142857,II:3646789,QX-RIAILs
31.4642857142857,II:3646789,QX-RIAILs
-21.3037037037037,II:3646789,QX-RIAILs
-0.0113636363636491,II:3646789,CB-RIAILs
19.5481481481481,II:3646789,CB-RIAILs
-2.63703703703703,II:3646789,QX-RIAILs
-5.78518518518517,II:3646789,CB-RIAILs
24.9875,II:3646789,QX-RIAILs
139.304166666667,II:3646789,CB-RIAILs
13.6578947368421,II:3646789,CB-RIAILs
-34.0087719298246,II:3646789,QX-RIAILs
3.46428571428571,II:3646789,CB-RIAILs
21.8219696969697,II:3646789,QX-RIAILs
-35.5038759689923,II:3646789,CB-RIAILs
1.82945736434108,II:3646789,QX-RIAILs
45.4961240310078,II:3646789,CB-RIAILs
-11.4518518518519,II:3646789,CB-RIAILs
1.35,II:3646789,CB-RIAILs
7.82945736434108,II:3646789,CB-RIAILs
-29.344696969697,II:3646789,QX-RIAILs
4.65530303030304,II:3646789,QX-RIAILs
-76.344696969697,II:3646789,CB-RIAILs
-20.9848484848485,II:3646789,QX-RIAILs
25.8814814814815,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
21.9886363636364,II:3646789,QX-RIAILs
46.0151515151515,II:3646789,CB-RIAILs
-36.1185185185185,II:3646789,QX-RIAILs
-43.3421052631579,II:3646789,QX-RIAILs
21.1627906976744,II:3646789,QX-RIAILs
-9.11851851851852,II:3646789,CB-RIAILs
28.297619047619,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
-22.6958333333333,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
-13.9703703703704,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
3.21481481481483,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
42.4642857142857,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
-49.4518518518518,II:3646789,QX-RIAILs
4.68181818181817,II:3646789,CB-RIAILs
-81.5357142857143,II:3646789,QX-RIAILs
-5.65,II:3646789,QX-RIAILs
0.681818181818173,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
-25.3037037037037,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
-11.6780303030303,II:3646789,QX-RIAILs
1.68181818181817,II:3646789,QX-RIAILs
18.35,II:3646789,QX-RIAILs
42.8294573643411,II:3646789,CB-RIAILs
-14.65,II:3646789,QX-RIAILs
0.881481481481483,II:3646789,CB-RIAILs
-26.6791666666667,II:3646789,CB-RIAILs
-49.5038759689923,II:3646789,CB-RIAILs
17.2148148148148,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
48.6818181818182,II:3646789,CB-RIAILs
-45.5038759689923,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
-12.344696969697,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
-19.6515151515151,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
-4.67803030303031,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
-12.342105263158,II:3646789,QX-RIAILs
5.49612403100776,II:3646789,QX-RIAILs
16.6818181818182,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
-12.0087719298247,II:3646789,QX-RIAILs
11.5481481481481,II:3646789,CB-RIAILs
21.3484848484849,II:3646789,QX-RIAILs
7.32196969696969,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
14.35,II:3646789,CB-RIAILs
2.79761904761905,II:3646789,CB-RIAILs
8.9875,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
-23.6515151515151,II:3646789,QX-RIAILs
-71.637037037037,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
-6.00877192982458,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
-4.65151515151514,II:3646789,QX-RIAILs
-11.0291666666667,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
8.82945736434108,II:3646789,CB-RIAILs
10.797619047619,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
47.0166666666667,II:3646789,CB-RIAILs
-2.01136363636365,II:3646789,QX-RIAILs
13.6541666666667,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
-27.9848484848485,II:3646789,CB-RIAILs
38.8294573643411,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
7.02962962962963,II:3646789,QX-RIAILs
-2.3625,II:3646789,CB-RIAILs
29.6833333333333,II:3646789,CB-RIAILs
-33.0125, Parental,QX1430
28.6818181818182, Parental,QX1430
27.9875, Parental,CB4856
9.88148148148148, Parental,QX1430
21.3245614035088, Parental,CB4856
21.9886363636364, Parental,CB4856
9.32456140350877, Parental,QX1430
15.0296296296296, Parental,QX1430
21.2148148148148, Parental,CB4856
42.8294573643411, Parental,CB4856
41.0151515151515, Parental,CB4856
24.6962962962963, Parental,CB4856
-26.0291666666667, Parental,CB4856
26.1309523809524, Parental,CB4856
22.3219696969697, Parental,QX1430
19.3041666666667, Parental,QX1430
38.4642857142857, Parental,QX1430
22.35, Parental,QX1430
-58.5038759689923, Parental,QX1430
